1347 Property Insurance Holding,7.39,6.68,67.11,0.94,1.97M,0,2.36
1st Constitution Bancorp (NJ),13.56,12.89,12.97,1.05,0,0.66,1.05
1st Source Corporation,35.83,34.35,17.78,1.53,0,1.71,5.35
Ability Inc. - Ordinary Shares,3.35,3.85,N/A,5.59,-3.63M,0,17.28
ABM Industries Incorporated Com,39.57,37.48,28.67,2.45,168.50M,4.87,6.46
Access National Corporation,24.75,22.16,16.7,2.36,0,2.02,10.68
ACNB Corporation,27.26,25.85,16.59,1.51,0,0,20.25
AEGON N.V. Perp. Cap. Secs. Flo,24.47,24.69,N/A,N/A,0,0,0
AEGON N.V. Perp. Cap. Securitie,25.79,26.1,N/A,N/A,0,0,0
AEGON N.V. Common Stock,4.42,4.32,N/A,0.37,1.32B,0.34,2.08
AEGON N.V. Perp. Cap Secs.,25.41,25.87,N/A,N/A,0,0,0
Aegon NV 8.00% Non-Cumulative S,26.59,27.08,N/A,1.91,1.32B,0,0
"Affiliated Managers Group, Inc.",141.83,147.78,16.56,2.42,856.20M,0.88,1.63
"Affiliated Managers Group, Inc.",25.91,26.31,2.93,0.44,856.20M,0,0
AFLAC Incorporated Common Stock,70.73,71.27,11.36,1.3,4.61B,1.56,4.56
Aflac Incorporated 5.50% Subord,25.8,26.41,3.91,0.44,4.61B,0,0
"AgroFresh Solutions, Inc.",4.32,5.23,N/A,0.3,51.39M,-0.18,53.06
"AgroFresh Solutions, Inc. - War",N/A,N/A,N/A,N/A,N/A,0,N/A
"Alexander & Baldwin, Inc. Commo",39.71,38.56,N/A,1.76,79.30M,2.25,12.93
Alleghany Corporation Common St,530.52,532.43,16.2,1.08,1.00B,2.33,1.32
"Allegiance Bancshares, Inc.",27.79,25.75,18.66,1.42,0,0,14.05
AllianceBernstein Holding L.P. ,22.19,22.62,11.63,1.5,0,3.34,1.31
"AllianzGI NFJ Dividend, Interes",12.33,12.5,N/A,N/A,0,0,0
Allied World Assurance Company ,43.73,39.66,14.11,1.11,386.30M,-1.41,0.98
Allstate Corporation (The) Comm,68.73,68.39,19.55,1.38,2.91B,1.47,2.97
Ally Financial Inc. Common Stoc,18.89,18.21,N/A,0.68,0,1.18,4.06
Altisource Asset Management Cor,32.92,19.55,N/A,N/A,-30.93M,0,2.55
Altisource Residential Corporat,10.57,10.18,N/A,0.66,-107.27M,-0.4,4.03
"Ambac Financial Group, Inc.",19.94,17.93,1.87,0.55,992.38M,0.19,12.49
"Ambac Financial Group, Inc. - W",N/A,N/A,N/A,N/A,N/A,0,N/A
America First Multifamily Inves,0,0,N/A,N/A,0,0,0
American Equity Investment Life,18.48,16.67,N/A,0.66,38.98M,1.6,4.79
American Express Company Common,65.9,64.46,12.71,3.1,0,1.84,3.56
"American Financial Group, Inc. ",25.41,25.78,5.56,0.41,863.00M,0,0
"American Financial Group, Inc. ",76.52,73.96,18.18,1.35,863.00M,1.77,2.63
"American Financial Group, Inc. ",26.3,27,5.67,0.42,863.00M,0,0
"American Financial Group, Inc. ",26.46,26.73,N/A,N/A,0,0,0
"American Financial Group, Inc. ",25.8678,26.2665,5.6183,0.4232,863.00M,0,0
"American International Group, I",60.95,57.6,208.21,0.75,5.29B,0.95,2.69
"American National Bankshares, I",28.12,27,15.79,1.29,0,4.12,24.11
American National Insurance Com,119.42,116.85,17.92,0.7,237.49M,0,0.68
"American Realty Investors, Inc.",7,6.28,N/A,0.83,36.43M,0,13.31
American River Bankshares,11.91,10.89,16.26,1.09,0,1.07,1.77
"Ameriprise Financial, Inc. Comm",99.58,97.62,15.49,2.64,2.79B,1.53,1.84
Ameris Bancorp,37.43,33.64,21.6,2.3,0,2.43,6.27
"AMERISAFE, Inc.",58.48,59.39,14.96,2.4,120.67M,1.59,6.45
AmeriServ Financial Inc.,3.31,3.19,26.54,0.66,0,0,33.88
AmeriServ Financial Inc. - Amer,26.83,27.2,N/A,N/A,0,0,0
Ames National Corporation,27.67,26.84,18.38,1.64,0,0,33.57
"AmTrust Financial Services, Inc",26.33,25.85,11.32,1.7,782.87M,0.78,10.27
"AmTrust Financial Services, Inc",25.72,25.79,11.05,1.66,782.87M,0,0
"AmTrust Financial Services, Inc",26.37,26.5,N/A,N/A,0,0,0
Anchor Bancorp,24.85,24.82,84.85,1.02,0,0,1.73
Andina Acquisition Corp. II - O,9.91,9.8,N/A,3.51,0,0,0.1
Andina Acquisition Corp. II - R,0,0,N/A,N/A,0,0,0
ANDINA ACQUISITION CORP II UNIT,0,0,N/A,N/A,0,0,0
Andina Acquisition Corp. II - W,N/A,N/A,N/A,N/A,N/A,0,N/A
Aon plc Class A Ordinary Shares,110.51,109.4,20.82,5.43,2.49B,2.06,2.55
"Apollo Global Management, LLC C",18.35,17.34,15.48,4.95,0,0.33,8.39
Arch Capital Group Ltd.,78.85,75.48,15.38,1.49,897.44M,2.14,4.35
Arch Capital Group Ltd.,23.76,23.94,5.66,0.41,633.62M,0,0
Ares Management L.P. Common Uni,17.19,16.24,20.97,5.11,165.47M,0.4,1.81
Argo Group International Holdin,58.71,55.03,12.94,1.09,212.90M,2.31,3.17
Argo Group International Holdin,25.61,25.96,N/A,N/A,0,0,0
Arlington Asset Investment Corp,14.72,14.09,19.43,0.85,0,-0.24,4.84
Arlington Asset Investment Corp,23.0997,22.2352,N/A,N/A,0,0,0
Arlington Asset Investment Corp,23.5314,22.6838,28.0319,1.2308,0,0,0
"Armada Hoffler Properties, Inc.",13.46,13.45,14.79,2.43,51.00M,2.83,2.72
Arowana Inc. - Ordinary Shares,10.19,10.1,N/A,6.36,0,0,0.11
Arowana Inc. - Rights,0,0,N/A,N/A,0,0,0
Arowana Inc.,N/A,N/A,N/A,N/A,N/A,0,N/A
Arowana Inc. - warrant,N/A,N/A,N/A,N/A,N/A,0,N/A
