3M Company Common Stock,170.1,173.75,21.63,8.67,8.66B,2.49,3.83
"AAC Holdings, Inc. Common Stock",13.98,18.52,N/A,1.47,23.23M,0.73,31.97
Abbott Laboratories Common Stoc,40.5,40.96,43.41,2.82,4.64B,1.82,8.55
AbbVie Inc. Common Stock,60.85,62.8,16.33,15.2,11.18B,0.84,4.46
Abeona Therapeutics Inc.,6.85,4.34,N/A,3.87,-24.64M,0,4.09
Abeona Therapeutics Inc. - Warr,N/A,N/A,N/A,N/A,N/A,0,N/A
"ABIOMED, Inc.",117.23,113.62,119.39,12.28,78.81M,3.66,2.58
AC Immune SA,14.61,14.99,30.61,8.24,20.38M,0,0.51
"Acadia Healthcare Company, Inc.",40.94,50.95,N/A,1.49,544.04M,0.92,7.88
ACADIA Pharmaceuticals Inc.,25.83,31.96,N/A,6.19,-239.42M,-0.74,7.22
"Acasti Pharma, Inc.",1.47,1.49,N/A,0.86,-5.54M,0,0.09
Acceleron Pharma Inc.,32.12,33.06,N/A,6.23,-60.77M,0,10.32
Accuray Incorporated,5.36,5.37,N/A,8.12,6.20M,0.11,12.98
"AcelRx Pharmaceuticals, Inc.",3.19,3.23,N/A,43.75,-30.33M,0,20.98
Aceto Corporation,18.69,21.4,19.53,1.87,64.19M,0.63,13.44
"Achaogen, Inc.",4.88,4.1,N/A,4.3,-47.72M,0,1.95
"Achillion Pharmaceuticals, Inc.",6.17,7.95,N/A,1.52,-42.20M,-0.43,10.59
"Aclaris Therapeutics, Inc.",22.93,21.21,N/A,6.86,-37.24M,-0.17,7.87
"Acorda Therapeutics, Inc.",19.6,24.01,N/A,1.47,19.31M,2.62,7.68
"Actinium Pharmaceuticals, Inc. ",1.09,1.58,N/A,3.59,-24.87M,0,3.34
"Acura Pharmaceuticals, Inc.",1.1622,1.7531,N/A,N/A,-8.65M,0,2.41
"Adamas Pharmaceuticals, Inc.",15.08,15.41,N/A,2.44,-63.46M,-0.07,26.95
Adamis Pharmaceuticals Corporat,2.82,3.76,N/A,3.31,-17.90M,0,7.37
Adaptimmune Therapeutics plc - ,0,0,N/A,N/A,0,0,0
Adcare Health Systems Inc Commo,1.8,2.03,N/A,N/A,7.27M,0,16.76
Addus HomeCare Corporation,27.94,22.75,48.78,2.57,26.48M,1.61,15.44
Adeptus Health Inc. Common Stoc,25.92,44.05,1.88,0.67,37.54M,0.06,18.15
ADMA Biologics Inc,6.09,6.39,N/A,N/A,-17.05M,0,4.87
"Aduro Biotech, Inc.",12.53,12.9,N/A,3.75,-41.34M,0.09,22.1
Advanced Accelerator Applicatio,0,0,N/A,N/A,0,0,0
"Advaxis, Inc.",9.51,9.78,N/A,4.04,-66.10M,0,12.54
"Advaxis, Inc. - Warrants",N/A,N/A,N/A,N/A,N/A,0,N/A
"Adverum Biotechnologies, Inc.",3.44,3.73,N/A,0.63,-47.17M,0,4.9
"Aegerion Pharmaceuticals, Inc.",2.07,1.82,N/A,N/A,-77.27M,-0.04,9.87
"Aeglea BioTherapeutics, Inc.",6.24,6.05,N/A,1.06,-17.38M,0,0.32
"Aerie Pharmaceuticals, Inc.",37.19,24.5,N/A,10.58,-87.21M,0,6.18
AEterna Zentaris Inc.,3.78,3.56,N/A,10.61,-30.56M,0,1.07
Aetna Inc. Common Stock,113.71,116.09,18.3,2.4,5.97B,1.34,2.77
Affimed N.V.,2.28,2.8,N/A,1.69,-35.44M,0,7.22
Agenus Inc.,5.51,5.21,N/A,N/A,-104.20M,0,5.73
"Agile Therapeutics, Inc.",7.27,7.21,N/A,4.43,-31.06M,0,7.2
"Agios Pharmaceuticals, Inc.",53.65,48,N/A,6.55,-179.34M,0,12.41
"Aimmune Therapeutics, Inc.",18.97,14.94,N/A,6.5,-71.93M,0.32,20.99
Akari Therapeutics Plc - Americ,0,0,N/A,N/A,0,0,0
"Akebia Therapeutics, Inc.",8.28,8.37,N/A,3.37,-117.58M,0,21.4
Akers Biosciences Inc,3.14,2.84,N/A,2.85,-6.72M,0,0.18
"Akorn, Inc.",24.71,28.19,14.74,3.38,465.25M,1.57,11.74
"Albany Molecular Research, Inc.",16.45,15,N/A,2.14,39.02M,1.43,25.67
"Albireo Pharma, Inc.",18.65,13.22,N/A,1.99,-15.36M,0,0.12
Alcobra Ltd. - Ordinary Shares,2.2,3.99,N/A,1.06,-23.99M,0,3.9
"Alder BioPharmaceuticals, Inc.",28.51,29.07,N/A,3.39,-134.96M,-0.39,14.93
"Aldeyra Therapeutics, Inc.",6.45,6.04,N/A,2.58,-16.91M,0,0.77
Alere Inc. Common Stock,41.39,41.17,N/A,2.35,317.98M,1.76,5.25
"Alexion Pharmaceuticals, Inc.",123.18,129.47,71.76,3.16,1.11B,1.46,3.14
"Align Technology, Inc.",89.65,86.82,41.1,7.79,261.54M,1.72,3.87
